run_id,seed,scenario,status,di,spd,max_demographic_parity_difference,max_demographic_parity_attribute,aod,eod,realism_amp_level,realism_amp_spearman,realism_int_level,realism_int_spearman,pdf_parity_pass,pdf_parity_max_delta,pdf_anchors_pass,pdf_stub,has_disclaimer_privacy,render_engine,render_mode,tectonic_mode,cache_digest,chain_pass,chain_first,chain_last,signatures_pass,evidence_encryption_pass,evidence_sha256,compliance_compliant,metrics_bands_pass,adverse_action_present,intersectional_fairness_present,intersectional_worst_case_pair,intersectional_worst_case_air,cert_statuses_pass,lc11_contract_certification_pass,training_convergence_amp_status,training_convergence_amp_criteria_met,training_convergence_amp_generator_converged,training_convergence_amp_discriminator_converged,training_convergence_int_status,training_convergence_int_criteria_met,training_convergence_int_generator_converged,training_convergence_int_discriminator_converged
20260802T203903Z,7,01_balanced,pass,1.0086062804509408,0.004956781778706398,0.06658133562003721,race,,,full,0.8613523193537603,full,0.8597576762563666,True,0.00039371954905909057,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,eeb684401e0a5572073c66140ae8cc312501bd269f6e483943550ef3d7ac69f0,True,True,False,True,female|asian,0.9365364431486882,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203903Z,7,02_gender_bias,pass,0.6501556214330828,-0.19680466614897385,0.19680466614897385,gender,,,full,0.8697968797669642,full,0.8690815317070519,True,0.00015562143308278653,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,913dc4c43b468c24fe46c1a9bca9056a85f5fe034899cd07956d5c963c6d464c,False,True,True,True,female|asian,0.5928101503759399,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203903Z,7,03_outliers,pass,1.0368296552355862,0.020142799270974288,0.048473085369115876,race,,,full,0.8724647917117255,full,0.8719943939991918,True,0.00017034476441368795,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,d0b6a5e57981201a625c1ac4f08915d07a729c060cd336510b798a51c6072766,True,True,False,True,male|other,0.9589084765214065,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203903Z,7,04_security,pass,1.0087098777673664,0.0049049631391764326,0.027341650053559152,race,,,full,0.8728230307017214,full,0.8734036592660147,True,0.0002901222326334718,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,082c91f7307daef15c807cf5f0b285bec24637ca1947ea6b217328bb0b6eecaa,True,True,False,True,male|asian,0.9689859543720062,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203819Z,11,01_balanced,pass,1.0084285216929991,0.004881767883651911,0.041981923029733026,race,,,full,0.8654932273582219,full,0.8638257305007738,True,0.0004285216929991176,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,0de37442dfd69d2fa5e8d1f4714126fdad41c052abc4f847857ab6951dfa56e8,True,True,False,True,male|black,0.9464608404203005,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203819Z,11,02_gender_bias,pass,0.6498396324923268,-0.1947670711627314,0.1947670711627314,gender,,,full,0.8707724025811677,full,0.8704187900383528,True,0.00016036750767323138,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,549ad7e41772e60061dd09632f14cc47e56585534675bc254e2e87991629f6c3,False,True,True,True,female|other,0.6151746687078741,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203819Z,11,03_outliers,pass,1.0135036454047037,0.007457073818629922,0.08057970871657394,race,,,full,0.869509065676074,full,0.8691575724648486,True,0.0004963545952962889,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,69c1410fbd46ff0dae5a08c7c354c57bae0bcd6cabfcdcabcc71287101b2c9df,True,True,False,True,male|asian,0.9085747731928592,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203819Z,11,04_security,pass,1.0084184513444063,0.004761749328458964,0.05956734748739456,race,,,full,0.8741388010483577,full,0.8749502930622516,True,0.00041845134440632314,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,58c759debc482547b91d1fd4764fd58cda470c456411f963125cf69bbfa57956,True,True,False,True,male|other,0.8716203198253163,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203756Z,23,01_balanced,pass,1.0082547044309453,0.0047174371355166445,0.020646749617406424,race,,,full,0.8685160339327429,full,0.8674225671204663,True,0.00025470443094532946,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,a3263d95f0f14a9cd26dbb954a599d00c7a0b70faae24308b8e6dc64558986cf,True,True,False,True,male|other,0.9587815384615385,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
20260802T203756Z,23,02_gender_bias,pass,0.6498718071166769,-0.19533170260493576,0.19533170260493576,gender,,,full,0.8767788712283292,full,0.8780877684324643,True,0.0001281928833231083,True,False,False,typst,offline,,,True,data_profiling_certificate_amplification.json,regulatory_alignment_certificate.json,True,True,1790c61c1d92704c3806d1a52dc259ce84ec4539e94d377e58bc4e3847321422,False,True,True,True,female|asian,0.5571201376043464,True,True,valid,not_applicable,not_applicable,not_applicable,valid,not_applicable,not_applicable,not_applicable
